Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9253906459685438,0.9265961552053023,0.9253906459685438,0.9173778667551112
Random Forest,0.6909442730393572,0.7529379108433681,0.6909442730393572,0.634338945077239
Logistic Regression,0.2986419093532646,0.19451118555578226,0.2986419093532646,0.2103519987678502
Gradient Boosting,0.933128158461802,0.9466909028324147,0.933128158461802,0.9327404467759104
