Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9268783341981692,0.9280864753601618,0.9268783341981692,0.9191021016094917
Random Forest,0.6850753174118315,0.7572377841407917,0.6850753174118315,0.6273771217577442
